id,title,score,popularity,genres,tags,main_char,description
105398,Solo Leveling,84,280633,Action|Adventure|Fantasy,Dungeon:95|Male Protagonist:93|Super Power:92|War:90|Full Color:89|Magic:87|Necromancy:87|Urban Fantasy:84|Gods:79|Creature Taming:79|Primarily Adult Cast:68|Long Strip:66|Politics:65|Demons:64|Post-Apocalyptic:64|Video Games:62|Tragedy:60|Foreign:59|Memory Manipulation:59|Anti-Hero:57|Time Manipulation:57|Age Regression:56|Heterosexual:56|Assassins:54|Chimera:53|Estranged Family:53|Language Barrier:47|Time Skip:46|Bullying:44|Snowscape:20|Marriage:16,Jin-U Seong,"In a world where awakened beings called “Hunters” must battle deadly monsters to protect humanity, Seong Jin-U, nicknamed “the weakest hunter of all mankind,” finds himself in a constant struggle for survival. One day, after a brutal encounter in an overpowered dungeon wipes out his party and threatens to end his life, a mysterious System chooses him as its sole player: Jin-U has been granted the rare opportunity to level up his abilities, possibly beyond any known limits. Follow Jin-U’s journey as he takes on ever-stronger enemies, both human and monster, to discover the secrets deep within the dungeons and the ultimate extent of his powers.
  
(Source: Tappytoon)
  
 Note: Includes 22 extra chapters."
119257,Omniscient Reader,86,128438,Action|Adventure|Fantasy,Survival:97|Post-Apocalyptic:94|Death Game:88|Full Color:87|Meta:87|Male Protagonist:85|Gods:85|Denpa:85|POV:85|Time Loop:85|Philosophy:84|Tragedy:82|Astronomy:80|Found Family:79|Alternate Universe:79|Cosmic Horror:75|Suicide:75|Primarily Adult Cast:65|Historical:63|Battle Royale:62|Isekai:60|Long Strip:60|Religion:60|Swordplay:56|Body Horror:54|Dragons:53|Ensemble Cast:52|Age Regression:51|Trains:49|Parody:48|Adoption:48|Crossover:40|Demons:40|Angels:40|Terrorism:37|Afterlife:36|Female Protagonist:23|Zombie:20,Dok-Ja Kim,"Back then, Dok-Ja had no idea. He had no idea his favorite web novel 'Three Ways to Survive the Apocalypse' was going to come to life, and that he would become the only person to know how the world was going to end. He also had no idea he would end up becoming the protagonist of this novel-turned-reality. Now, Dok-Ja will go on a journey to change the course of the story and save humankind once and for all.
  
(Source: WEBTOON, edited)"
85143,Tower of God,82,98597,Action|Adventure|Drama|Fantasy|Mystery,Super Power:95|Ensemble Cast:93|Full Color:91|War:90|Conspiracy:87|Male Protagonist:83|Tragedy:83|Magic:82|Cultivation:79|Travel:78|Time Skip:76|Politics:76|Space Opera:71|Martial Arts:70|Anti-Hero:70|Dissociative Identities:70|Battle Royale:69|Memory Manipulation:67|Long Strip:66|Kemonomimi:65|Philosophy:64|Artificial Intelligence:60|Trains:58|Terrorism:56|Afterlife:54|Gore:53|Meta:52|Found Family:51|Primarily Adult Cast:50|Dungeon:50|Slavery:48|Female Harem:42|Criminal Organization:40|Necromancy:40|Creature Taming:33|Goblin:32|Time Manipulation:16,Twenty-Fifth Baam,"What do you desire? Money and wealth? Honor and pride? Authority and power? Revenge? Or something that transcends them all? Whatever you desire—it's here.  
(Source: WEBTOON)"
86964,Bastard,83,75911,Drama|Horror|Mystery|Psychological|Romance|Thriller,Crime:90|Tragedy:88|Male Protagonist:87|Gore:87|Bullying:86|Anti-Hero:85|Full Color:83|Coming of Age:82|Disability:80|Noir:79|Heterosexual:77|Delinquents:73|Philosophy:71|Suicide:70|Memory Manipulation:65|School:60|Assassins:60|Amnesia:56|Long Strip:20,Jin Seon,"High school life is hard enough, but it’s even harder for Seon Jin. A sickly disabled boy, Jin might as well be invisible. No one ever pays attention to him, except for the bullies who prey on him for being weak. Jin, however, keeps a very dark secret—there’s a serial killer in his house…and it’s his father!
  
(Source: Seven Seas Entertainment)
  
 Note: Includes one extra chapter."
128067,SSS-Class Revival Hunter,83,64902,Action|Adventure|Drama|Fantasy|Supernatural,Time Manipulation:95|Male Protagonist:92|Full Color:91|Suicide:90|Philosophy:90|Dungeon:86|Urban Fantasy:86|Ghost:83|Revenge:78|Tragedy:73|Primarily Adult Cast:71|Cultivation:67|Heterosexual:62|Age Regression:60|Memory Manipulation:58|Martial Arts:55|Long Strip:53|Wuxia:50|Marriage:45|Necromancy:44|Goblin:40|Bullying:40|Gods:40|Denpa:20|Villainess:20|Time Loop:20|Zombie:20|Ojou-sama:20,Gong-Ja Kim,"In the mysterious, RPG dungeon-like Tower, Confucius Kim lives a mundane existence, envying all the star hunters. One day, his wish for more is granted with a legendary skill to copy others’ abilities… at the cost of his life. Before he can make sense of it, he’s killed by the #1 hunter, the Flame Emperor! But this activates his skill and now he’s copied a new one, the ability to travel back in time upon death. How will Confucius use these skills to outplay the competition and rise to the top?
  
(Source: Tapas)"
140407,The Greatest Estate Developer,90,64439,Adventure|Comedy|Fantasy,Surreal Comedy:96|Anachronism:95|Male Protagonist:93|Economics:93|Slapstick:90|Isekai:88|Kingdom Management:88|Anti-Hero:83|Demons:79|Royal Affairs:77|Long Strip:76|Full Color:75|Found Family:75|Parody:73|Politics:70|Reincarnation:66|Magic:64|Animals:64|Rural:60|Angels:60|Agriculture:57|Butler:56|Dragons:54|Cult:50|Zombie:50|Swordplay:46|Necromancy:46|Military:40|Heterosexual:40|Elf:40|Chimera:20|Desert:20|Mermaid:20|Tomboy:20|Crossdressing:20|Class Struggle:20|Reverse Isekai:20,Lloyd Frontera,"When civil engineering student Su-Ho Kim falls asleep reading a fantasy novel, he wakes up as a character in the book! Su-Ho is now in the body of Lloyd Frontera, a lazy noble who loves to drink, and whose family is in a mountain of debt. Using his engineering knowledge, Su-Ho designs inventions to avert the terrible future that lies in wait for him. With the help of a giant hamster, a knight, and the world’s magic, can Su-Ho dig his new family out of debt and build a better future?
  (Source: WEBTOON, edited)  
 Note: Includes 12 extra chapters."
100568,The Horizon,85,63471,Adventure|Drama|Psychological,Survival:98|Post-Apocalyptic:92|Philosophy:92|War:91|Tragedy:88|Religion:85|Coming of Age:82|Primarily Child Cast:80|Crime:79|Travel:79|Achromatic:79|Time Skip:78|Male Protagonist:73|Rehabilitation:70|Orphan:70|Guns:66|Gore:60|Suicide:55|Cannibalism:52|Language Barrier:38|Outdoor Activities:20,Geu Sonyeon,"A world where everything has been lost. A boy and a girl alone together. A spark of hope kindled between them. All they can do is move forward. But against broken adults and devastating despair, how long will they be able to keep going...?
  
(Source: Yen Press)"
126297,Teenage Mercenary,79,55232,Action|Drama,Full Color:89|Kuudere:88|Male Protagonist:84|Family Life:76|Military:76|School:73|Guns:71|Assassins:70|Martial Arts:68|Bullying:64|Yakuza:53|Tragedy:52|War:51|Heterosexual:50|Long Strip:50|Anti-Hero:48|Terrorism:48|Mafia:32|Revenge:20|Motorcycles:10,I-Jin Yu,"At the age of eight, I-Jin Yu lost his parents in a plane crash and became stranded in a foreign land, forced to become a child mercenary in order to stay alive. He returns home ten years later to be reunited with his family in Korea, where food and shelter are plenty and everything seems peaceful. But I-Jin will soon learn that life as a teenager is a whole other feat of survival. With only one year of high school left, I-Jin must master new tactics to maneuver his way around the schoolhouse battleground. Can he survive a year of high school? Or rather, will the school be able to survive him? 
 
(Source: WEBTOON)"
100954,Sweet Home,82,54801,Drama|Horror|Psychological|Supernatural|Thriller,Post-Apocalyptic:99|Survival:96|Demons:91|Tragedy:85|Coming of Age:85|Full Color:81|Gore:79|Body Horror:79|Philosophy:79|Male Protagonist:75|Dissociative Identities:66|Suicide:66|Hikikomori:63|Bullying:63|Urban:52|School:29|Long Strip:20,Hyun-Su Cha,"After an unexpected family tragedy, a reclusive high school student is forced to leave his home -- only to face something much scarier: a reality where monsters are trying to wipe out humanity. Now he must fight alongside a handful of reluctant heroes to try and save the world before it’s too late.  
(Source: WEBTOON)  
 Note: Includes one extra chapter."
85141,The God of High School,76,53967,Action|Adventure|Fantasy,Martial Arts:97|Super Power:95|Gods:89|Full Color:87|Mythology:87|War:85|Urban Fantasy:85|Ensemble Cast:81|Conspiracy:80|Revenge:80|Amnesia:80|Cult:76|Time Skip:76|Male Protagonist:72|Tragedy:72|Swordplay:71|Demons:70|Cultivation:68|Post-Apocalyptic:65|Politics:62|Religion:60|Foreign:60|Space:60|Heterosexual:60|Terrorism:56|Dragons:50|Isekai:49|Age Regression:46|School:44|Athletics:40|Espionage:40|Kemonomimi:30|Long Strip:20|Centaur:10,Mo-Ri Jin,"Mori Jin is a high school student and Taekwondo specialist who enters ""The God of High School,"" a fighting tournament that promises the winner anything they want. What began as a competition to seek out the best high school fighter soon reveals itself to be part of a much greater plot that goes beyond Mori's wildest imagination. What will he give to become a true god?
  
(Source: WEBTOON)"
